latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp
9.64717,-63.55483,304.6,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289,2.3
9.65421,-63.62297,343.4,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.2,8
9.64514,-63.57122,343.9,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.9,3
9.64332,-63.56082,338.8,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.2,2.3
9.65511,-63.62809,310.2,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,287.9,3.1
9.65331,-63.61783,317.6,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.4,8
9.64423,-63.56602,313.5,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.6,3
9.6424,-63.55559,318.7,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.3,2.3
9.64148,-63.55033,302.6,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.2,1.7
9.65037,-63.62888,344.5,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,291.5,11.4
9.64947,-63.62376,347.7,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,290.1,11.4
9.65126,-63.63396,305.3,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,287.8,11.4
9.64857,-63.61864,314.9,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.7,11.4
9.63763,-63.55634,301.6,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.2,1.2
9.64563,-63.62967,308.7,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.4,11.4
9.64473,-63.62457,302.1,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.8,11.4
9.63552,-63.73761,327.8,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,287.8,4.6
9.63462,-63.73254,301.4,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,286,2.3
9.62249,-63.71898,309.4,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,284.8,1.2
9.61869,-63.72487,306.3,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,284.5,1.7
9.61778,-63.71979,319.9,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,284.9,1.7
9.81047,-64.8323,305.6,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,292.3,1.1
9.61399,-63.7257,306.5,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,285.7,1.7
